Size,Algorithm,Best Cost,Avg Cost,Std Dev,Avg Time (s)
20,HC_First,441.8119974680029,456.98869719048616,10.94097261210819,0.06685551007588704
20,HC_MultiStart,386.4296894765134,427.68460518431743,32.79185838124862,2.1962812741597495
20,SimulatedAnnealing,386.6266770061003,440.45788943792815,40.71306651587896,0.12208215395609538
50,HC_First,776.8971981213556,847.8540798505405,50.20110623731471,0.4534577528635661
50,HC_MultiStart,743.0310826677296,776.8707464292908,39.11751977611754,16.268550157546997
50,SimulatedAnnealing,937.769181743707,990.8568811504318,60.08127117816012,0.22960734367370605
80,HC_First,1179.969990690403,1213.9552609882721,26.925953836433152,1.762680451075236
80,HC_MultiStart,1011.8834520847538,1078.3328351710572,59.619947423930476,41.3262988726298
80,SimulatedAnnealing,1500.7837045520055,1640.821303188445,112.80438232816773,0.21544639269510904
